variable,kruskal_H,p_value,epsilon_sq,n,k_grupos
Lux_promedio,583.0965272773764,8.775215963271292e-114,0.41333566128088656,1389,17
dBA_prom,544.285783995715,1.453002110349082e-105,0.37680869043916904,1419,17
Bajada_Mediana,818.0122349713984,9.07938906776473e-164,0.5716409372568769,1420,17
