variable,media,ic95_inf,ic95_sup,n
Lux_promedio,726.3972402207822,615.1308393328534,901.9249112071034,1389
dBA_prom,54.94198496593847,54.1288648696265,55.76354974160207,1419
Bajada_Mediana,38.775258215962445,36.570884976525825,41.021767018779336,1420
Subida_mediana,29.249183098591548,27.77549231220657,30.88344102112676,1420
Indice_Compuesto,43.61502347417839,42.2294600938967,45.02464788732394,1420
