variable,q1,q3,iqr,lim_inf,lim_sup,outliers,pct_outliers
Lux_promedio,132.66666666666666,621.0,488.33333333333337,-599.8333333333334,1353.5,152,10.943124550035996
dBA_prom,44.8,62.23333333333333,17.43333333333333,18.650000000000002,88.38333333333333,50,3.5236081747709656
Bajada_Mediana,12.3825,46.05,33.6675,-38.11875,96.55125,170,11.971830985915492
